,frequency
have enough resources to,2
retired for the,2
turkey is not concerned,2
keep our own talks,2
and from there you,2
hit bul instead of,2
my spring,2
keep rotating,2
we couldn,2
we couldn come,2
we couldn come to,2
next build,2
planning on fighting germany,2
confidential,2
have few,2
since we have,2
planning on attacking,2
planning on,2
retaking of mar,2
but this game,2
retards,2
retired,2
retired for,2
have face,2
basically only two ways,2
for long time,2
news or when you,2
but want to,2
keep you posted if,2
into central europe,2
might be taking,2
keep your communications with,2
into central,2
stalemate line,2
we gotta keep,2
generally but,2
my reasoning is,2
move into tyr but,2
depends on us being,2
basically non factor,2
end of the deal,2
they support me into,2
keeping my options,2
plan regarding france,2
of success,2
into burgundy you,2
depending on someone,2
hmm looks,2
depending on how,2
now he knows,2
you tell him,2
you tell him that,2
plan though,2
my russia and,2
basically non,2
that depends on,2
but totally be willing,2
into effectively all of,2
next but,2
retreat to burgandy,2
basically just told,2
into edi,2
into each other because,2
since then,2
confident that you and,2
deploy my own,2
getting back to england,2
keep war mos warm,2
stagnate until russia or,2
getting back together again,2
we fall for that,2
into denmark as compensation,2
seems risky for you,2
have chance of getting,2
basically be his,2
turkey just dont want,2
planning something specific,2
just what like to,2
his sidekick given my,2
sit there,2
keen on war in,2
stab me inclined to,2
seems likely to me,2
gender,2
that cut,2
the big pushes,2
have half,2
have had the opportunity,2
have had the,2
into mao this turn,2
destroy england in,2
we can reach mutually,2
we can really,2
might have swayed,2
that cut bla,2
to bur,2
stab my,2
keep austria,2
have guess,2
seems our,2
turkey our game,2
plausible that turkey will,2
rest,2
stab like this,2
stab like,2
gearing up,2
take picardy,2
be close allies,2
we can demilitarize the,2
take over your territory,2
turkey so,2
destroys ukr or ensures,2
turkey should be on,2
turkey should,2
turkey shenanigans around bulgaria,2
turkey shenanigans around,2
to ride this out,2
play both sides,2
free and,2
my thinking,2
stab just wanted to,2
gearing up to stab,2
but then and forced,2
sit there and let,2
the england offer if,2
seems likely to,2
have greece if thats,2
keep chasing,2
planning something specific that,2
his two fleets,2
since you re the,2
freak out and,2
into it,2
we could all just,2
have good game to,2
stab they are,2
planning to go to,2
be all over him,2
his tracks by warning,2
planning to defend sev,2
since you have,2
either of those things,2
his word but,2
that depending,2
keep me from being,2
keep me from getting,2
have gone,2
planning to allow them,2
planning to allow,2
off yet since no,2
since you are picking,2
news or,2
keep it as long,2
the english have,2
into italys,2
else that,2
keep denmark,2
if russia attacks,2
sing diplomatic ballads,2
else in this game,2
to burgandy,2
be as,2
keep expanding,2
keep expanding that,2
keep expanding that way,2
keep fingers,2
we can to try,2
my supply or supporting,2
keep france busy,2
keep france busy will,2
theyve,2
plans for,2
keep germany from defending,2
we chat,2
my supply or,2
since you supported with,2
keep his,2
keep chasing france,2
think about making play,2
for me to,2
just go in blind,2
of that based on,2
removed from,2
have statistics,2
poke nao because worst,2
speed things,2
mind that you,2
just concerned,2
you to marseilles,2
speed things up,2
east with turkey,2
points of alignments,2
mind that,2
points and agree with,2
points and agree,2
points and,2
him you ll,2
him you ll likely,2
himself,2
pointless and that,2
was wavering bit especially,2
mind sending me yours,2
mind sending me,2
reoriented the way you,2
him with army anyway,2
him with army,2
have submitted,2
seems interested in pile,2
think it worth it,2
think it worth collaborating,2
think it worth,2
for mun didnt go,2
remind you,2
think it should go,2
turn on you,2
pop both,2
into west,2
remind you that,2
turn on russia,2
into war because might,2
see how it,2
move from lyo,2
move from lyo to,2
into warsaw,2
not intend to attack,2
slip the knife,2
for ukraine again makes,2
poor faith of,2
that the,2
into war or,2
thanks so,2
did you organize bounce,2
point with,2
not in the cards,2
but more than,2
repeating by arrangement,2
have some problems,2
spheres of influence,2
seems like my,2
replace it,2
into tripoli in spring,2
into tripoli in,2
into tripoli,2
did you hear about,2
if she does,2
have some thoughts,2
but need,2
just give me,2
seems like my only,2
north with you,2
be on board,2
think he going for,2
replace your army,2
just go,2
seems like nice,2
hindsight,2
french either,2
easy since italy,2
but may need you,2
spent days,2
to need one of,2
spending more time,2
but me,2
seems like everything went,2
eastward move by austria,2
but might,2
seems like horrible set,2
just felt,2
easy for the,2
just felt like could,2
if you didn slip,2
point that,2
easy for them,2
himself into burgundy so,2
easy for us,2
point unless someone has,2
not in timezone,2
have some thoughts on,2
but more comfortable,2
point they,2
into turning on us,2
that the other,2
naf wes por spa,2
nothing hostile is coming,2
if you come,2
slow until austria decides,2
gas liv nao convoy,2
from norway,2
ion because you,2
off from,2
talk more,2
was nothing more,2
reliable info with me,2
spain to attack and,2
was on,2
joined might create,2
turn went,2
have to because of,2
not just going,2
have three way convo,2
slow things down,2
have three,2
judtcrebuilds it,2
easier to,2
be to bounce him,2
be to bounce,2
be to,2
jug forming,2
ion from being,2
to be from the,2
nothing and at,2
get it south,2
be using north atlantic,2
but ill work around,2
see if,2
didn know that,2
but im going,2
earned much,2
was more,2
earned much trust,2
notes and,2
relay it to france,2
was more than could,2
move for italy,2
think of sharp conduct,2
think of sharp,2
jobs and stuff,2
was my assumption so,2
him to go,2
take stab,2
relevant to our,2
slowing down,2
never pretended to,2
have to catch up,2
galicia or allowing russia,2
that supported,2
slipping,2
think its bad plan,2
have the satisfaction,2
mine so,2
have the opportunity,2
slipping into the irish,2
invade the south although,2
was talking about,2
him was fairly anti,2
invade the,2
invade,2
remaining in moscow on,2
think its bad,2
see how people,2
have the dual,2
intrasystem expansion so,2
was that your,2
french off your,2
nothing hostile,2
fun 1905,2
him we were,2
just based,2
was the one,2
popular austrian opening,2
you to switch course,2
never stabbed,2
position even though it,2
not just give,2
if you cant say,2
juggernaut but,2
gascon bounce they ll,2
easily,2
turn turkey tried,2
easily balanced until,2
position could,2
position both to grow,2
invasion that yours or,2
position both,2
not just do that,2
have the west,2
turn to support,2
think ll still tap,2
juggernaut then it be,2
juggernaut we will need,2
was so willing,2
invasion am still,2
invasion am,2
off from going,2
portugal why do we,2
have the west to,2
replace your army there,2
if you do ever,2
might request bounce in,2
that the plan,2
just ran in,2
get into position to,2
you did the blue,2
my unsolicited,2
be hard to put,2
resolve our local situation,2
just realized we,2
have norway he,2
new this turn good,2
his end of,2
did it,2
have no reason,2
resolved,2
playing russia,2
have no intentions,2
playing online diplomacy,2
his flank and start,2
either bur,2
resolving their issues,2
have no idea,2
the east with turkey,2
but rotation is more,2
spring boh,2
have noticed ceased all,2
have now,2
you did and it,2
that their positioning,2
just not on conspiracy,2
into sweden,2
that their plan though,2
but one which,2
please explain your thought,2
turks are rearing to,2
just now but,2
think already allied with,2
free up ser even,2
mildly concerning for both,2
to believe you,2
think about it,2
just offered to assist,2
eg taking,2
the big winners are,2
please do let,2
have only,2
and force him to,2
think actually helps much,2
think actually helps,2
to block,2
hmm no there,2
either get you,2
have my arm in,2
either go for the,2
and france are,2
might stab,2
my units if,2
be found out before,2
spring stab,2
that if we,2
might responses may,2
seems like total,2
player to do,2
player to,2
now and am,2
be flexible and if,2
his interests and,2
for me to be,2
seems like total waste,2
spring the,2
either new plan,2
spring the army,2
spring the army can,2
off the atlantic,2
player is you you,2
respond more in,2
player is that so,2
players are,2
turkey will move on,2
off russian,2
way victory in the,2
but see,2
my units unkilled,2
but seems,2
his fleets out maybe,2
either is better for,2
ska in the north,2
way up in,2
respect to swe,2
just slow,2
respect to swe den,2
have more to,2
to my island,2
things relatively,2
gave up the,2
off russian unit,2
just so,2
just so can,2
might take that as,2
way with france,2
my units towards,2
just so that,2
turkey will really,2
think and let,2
into sweden in,2
just not me,2
point and no one,2
think france will do,2
watch your,2
watch your back and,2
off of germany,2
off of liverpool,2
just have,2
water lepanto,2
just have three,2
sliding,2
did the blue water,2
point and no,2
edi england willing,2
and few,2
to bed early,2
french armies,2
request to support him,2
be more efficient,2
have russian problems pretty,2
be me even though,2
thank you well get,2
edinburgh and,2
have russian problems,2
split them in,2
turn and italy,2
have russian,2
did you galavanting,2
wasn willing,2
be ok as,2
but need to know,2
but need to stress,2
be offering you,2
split,2
from people all over,2
if you do gob,2
wasnt going,2
into tri,2
just going to let,2
to be your friend,2
replied to,2
take serb and you,2
into this,2
waste of,2
waste of time,2
replies,2
split of belgium and,2
into thinking their,2
confront me none,2
seems like rather greedy,2
seems like the,2
if you don sign,2
seems like this,2
pledge to keep our,2
an act of aggression,2
spoiling for fight,2
seems like the best,2
effectively guarantee that,2
plenty of fleets,2
new plan or one,2
did say prussia,2
did say,2
way for me to,2
way for you,2
have planned for the,2
have reached out given,2
new supply,2
efficient if we can,2
pleasure doing,2
way in,2
my word,2
of take them out,2
his chances to,2
to belgium in the,2
effort than everyone else,2
just normal things,2
move if,2
have realized it,2
have russia well,2
plus armies to ensure,2
have russia,2
if you don trust,2
plus like said,2
plus like,2
have rumania and presumably,2
ef alliance than,2
plus could,2
myself can,2
plus bud ven,2
plus bud,2
have rumania and,2
have realized it was,2
get it back,2
have rumania,2
move greece to ion,2
have recently arrived at,2
have recently arrived,2
have recently,2
just like some sort,2
conflict between italy,2
have realized that with,2
have realized that,2
now he knows he,2
but without me,2
since pointed out,2
rotate your armies out,2
there precedent for,2
still pain in,2
inevitable austria vs,2
leak to him that,2
leaked,2
still rather,2
pawn by the,2
mentor,2
hard to expect,2
holland can,2
hard to build trust,2
yeah he picked bad,2
to disband some stuff,2
you don sign,2
lean towards unless you,2
indicates that,2
leant my,2
leant my help,2
hard time,2
rotating,2
mentioned but did want,2
can be allies,2
path you want to,2
still tap,2
holland between us,2
to disband some,2
there is an clearly,2
fuck it,2
influence what,2
can always,2
move on again,2
that england is strategically,2
move on austria,2
seen the light about,2
truth and,2
to devote more resources,2
went pretty,2
launch,2
launch an,2
launch counter,2
am not telling them,2
launch counter attack,2
payback,2
cool to,2
layer,2
layer of protection,2
still on the,2
lazy on their moves,2
leader,2
if they don,2
mentor or friend who,2
inferior,2
path where do,2
path where,2
rotating my army,2
past supply centers,2
were moving back away,2
mention,2
round or,2
there isnt anything,2
gal but,2
austria but he,2
least likely far,2
can bet coming hard,2
least long,2
least long enough,2
that was funnier,2
austria build,2
still the nonzero,2
past supply,2
holland to take it,2
can block england,2
happy to work,2
happy to use it,2
there is no reason,2
england were,2
to distract,2
least reasonably,2
happy to talk about,2
route because it,2
nice for me,2
nice for,2
mention it,2
trust you trust you,2
seen way to,2
hard for me,2
there more than what,2
still think allied,2
mention taking sweden earlier,2
were going to take,2
yeah guess you have,2
can be dangerous as,2
path is,2
than anything else,2
yeah gotcha just,2
path into,2
mention it going after,2
holland from,2
mention it going,2
still to,2
path,2
defensive purposes,2
still to your and,2
were lucky that,2
england turns on,2
england units,2
still too strong for,2
well you ve,2
seen the end,2
payment now against,2
people were,2
try collaboration,2
land in scandinavia,2
land in scandinavia and,2
and he seems,2
well played,2
that means don,2
well right,2
people who play this,2
england move and building,2
still have austria,2
the best offers,2
people thats the,2
rom nap,2
calming,2
that mean unless it,2
largely depends,2
second fleet towards france,2
largely depends on your,2
people tell the truth,2
often as like,2
second fleet towards,2
last army,2
holdings are pretty much,2
go from to,2
definitely talk,2
and he says nothing,2
and he says,2
lamentations of their women,2
offers the best,2
offers the best stability,2
england italy,2
perhaps even germany are,2
england italy want you,2
perhaps dmz in the,2
sil pru,2
my messages and choosing,2
perform this,2
austria turkey alliance,2
and he is,2
and he is no,2
has been very busy,2
well ll stab,2
perfectly understandable,2
my messages and,2
england keep france busy,2
and he is very,2
england knock out,2
and he said,2
perfect to me,2
perfect to,2
and he said he,2
rolling over him,2
england needed to,2
payment now against that,2
info on outside,2
peak,2
my least preferred,2
last turn was,2
last turn we,2
peaceful arrangement,2
england otherwise,2
peace with her could,2
last unit or,2
last unit or two,2
there too but don,2
peace with,2
still make good,2
last build phase,2
sign up 100,2
to destroy austria fleet,2
can agree to dmz,2
can agree with,2
room,2
the best of me,2
can also just,2
england sent,2
late to turn,2
late to turn around,2
lately,2
definitely diving,2
well together and can,2
well together and,2
definitely diving for,2
people in the,2
last long,2
if mostly because can,2
england needed to be,2
holds support,2
england not attacking me,2
message england sent to,2
than cutting,2
has also support england,2
last minute and you,2
can,2
getting through england,2
austria out of there,2
truths to russia,2
england on board to,2
that he advanced,2
england once so,2
to denmark because it,2
people are just,2
people all over the,2
there was no,2
england opening so we,2
england or,2
nice hopefully,2
indeed and we,2
not have gone through,2
for extra insurance,2
that wasn planning to,2
nice to keep,2
can do germany is,2
lepanto this,2
in which case,2
lepanto this would be,2
true it is unfair,2
can do much unfortunately,2
can do something,2
enough might stab,2
true is,2
gifting the,2
paradigm often,2
then you can easily,2
lepantos are,2
rum at the,2
enough proof that iri,2
par den nth,2
par den,2
honestly because,2
the france campaign,2
can do to,2
normal anyways,2
hand that depends on,2
honest with you for,2
paradigm often ends,2
least slow him down,2
hands are tied,2
left for you,2
in you,2
left open so could,2
nth and or the,2
ruhr that ll be,2
that was two,2
happen and to say,2
hanging on,2
hang of this,2
defend against me,2
ok here my,2
in working,2
enough for bur ruh,2
legitimately thought you would,2
move past gascony paris,2
defend against both,2
legitimately trying to,2
con appreciate it,2
lemme,2
stopped sending me discord,2
for extra play,2
attacked by russia though,2
my getting out,2
my getting,2
less likely than anything,2
less likely than boh,2
my friends is,2
enough units for england,2
attack me next or,2
enough to leave,2
and if you want,2
shouldn trust to,2
to do when austria,2
then we could,2
for england to do,2
what if move out,2
take few,2
can facilitate your turkey,2
give an order,2
in vie,2
in west coast,2
to see it to,2
let me and england,2
stp mos bud gal,2
france right now,2
and ill need,2
to see out of,2
honestly if you,2
to do with lyo,2
can finish him,2
let me into the,2
my focus northward,2
rum it,2
rum in place to,2
honestly don see myself,2
rum in,2
nth hol hel,2
yea we,2
pals,2
let,2
agreed to stay out,2
fuck games with,2
not expecting seinfeld today,2
attack on me,2
gal and bud for,2
gal and bud,2
season they ve clearly,2
attack on france this,2
what have you,2
rum gal,2
then with,2
attack on bud,2
rum gal and,2
can effectively guarantee that,2
to see in what,2
move pic,2
hand as,2
ok in norway without,2
what he told,2
enjoying,2
text being out,2
gift horse,2
ruh ber mun,2
happy to crown you,2
pass,2
not final yet,2
austrai and turkey,2
to see first moves,2
there german,2
england you or,2
there further significant risk,2
there further significant,2
england you ve taught,2
englands,2
there french in ruhr,2
ruh bur par den,2
inconsequential,2
if its all the,2
con each season,2
france the opportunity to,2
incoming invasion,2
incoming,2
happy to accept this,2
happy to,2
stood,2
defending themselves but,2
stood in this,2
austria about done turkey,2
england working,2
my head is spinning,2
take his,2
were super,2
incursion into belgium,2
nice hopefully that,2
france thing and,2
memo was,2
incursion,2
past each other in,2
rt,2
france theyre being,2
past but when,2
stirring up big,2
can bounce him,2
austria and have agreed,2
for free and you,2
from the east,2
least when my,2
home center,2
passing through for,2
gf,2
ruh,2
my help,2
passed that up,2
least you should,2
for yea,2
leave my backdoor unlocked,2
left and youre still,2
western triangle,2
ruhr and berlin to,2
part of the equation,2
ruhr and that,2
can convince austria,2
can convince england,2
ruhr and the north,2
can convince russia,2
ruhr english channel,2
there any reason that,2
leaving it empty,2
if italy would go,2
ok england is going,2
leave nor,2
can convoy that army,2
can coordinate,2
led me to,2
leeway to,2
nowhere to retreat to,2
left,2
ruhr or successfully,2
happen if you move,2
if italy would,2
left and,2
weve had our,2
attacking toward the,2
move past gascony,2
attacking turkey just dont,2
mediterranean but,2
ok as long,2
ruh falls which,2
english channel or,2
nowhere else that french,2
leave ruhr,2
france support to,2
happy because gain one,2
leave sweden,2
gal as neutral,2
can change my orders,2
ruh kie mun hol,2
leave tyrolia,2
side of the,2
mediterranean right,2
stop bitchiness,2
not fight you,2
trust hopefully but,2
side for the foreseeable,2
side for the,2
side for,2
to do from selfish,2
part with brest,2
ok austria,2
getting the vibe,2
knows how,2
the first time,2
to convince them to,2
if you manage to,2
and given they didn,2
right he,2
interesting moves set just,2
tunis nap to,2
interesting moves set,2
we share common enemy,2
tunis idk,2
pie so that they,2
but you ll go,2
pie naf wes,2
pie mun tyr,2
they know who they,2
kinda of discourages,2
seems unlikely,2
but you need to,2
france will move to,2
hold at,2
interested in the current,2
but you re going,2
seems unlikely you re,2
interested in that,2
north after,2
hates me the most,2
secure greece,2
we seem,2
knows he can,2
now is the time,2
geographically,2
eng that move,2
denmark but,2
interests on the,2
my pitch,2
interests on,2
kill two birds with,2
killing,2
killing you,2
killing you and,2
denmark as compensation for,2
tunisia and one,2
pieced,2
right can think of,2
england about,2
england about that,2
but yes you,2
pieces of info,2
we said we,2
if you lose it,2
pieces are not positioned,2
mid atlantic for turn,2
secure my,2
interesting to see,2
hold bel and hol,2
simply nowhere,2
they have something,2
back into this now,2
knocking him out,2
pick up for,2
secondary evidence from england,2
pick two to ally,2
state of,2
hasnt agreed so im,2
state of belgium,2
state of belgium as,2
to coordinate in,2
now not to,2
secondary evidence from,2
know austria told,2
england are actively,2
know austria told me,2
my order suggestion we,2
back into the mediterranean,2
that to attack trl,2
den kie hel nth,2
messaging here but you,2
know being paranoid but,2
secondary evidence,2
my order,2
getting long,2
interactions,2
pick up for me,2
pick up one,2
to coordinate for,2
that might bounce,2
but your point is,2
but your units,2
england are considering similar,2
started,2
started marching,2
next to,2
england are fighting,2
kissed when click over,2
to convoy to tunis,2
den swe bot tyr,2
knife,2
simply,2
to cooperate,2
starting,2
england are gonna,2
picking up,2
right now except,2
trying to use me,2
starts either looking,2
hasnt made,2
we talked about,2
we talked lot,2
starts to look out,2
my pitch to you,2
start just,2
we re both moving,2
have been desperately,2
plan comes,2
not happy about,2
they re more,2
have been happy,2
revisit it tomorrow,2
that think that,2
plan and instead they,2
ended up allying,2
turkey but he,2
plan an coordinate after,2
kie boh mun,2
kie den,2
might be able,2
plan,2
move just not sure,2
turkey before we turn,2
bal swe ber,2
move let,2
bal swe,2
endgame before what,2
rewarding asshole behavior,2
placed but hoping,2
placed but,2
kie lvn hel,2
revelation that their plans,2
but what do,2
but what did hear,2
revelation that,2
turkey don feel comfortable,2
turkey don feel,2
you take rumania,2
return for my help,2
secured just as,2
plan is to,2
have been thing you,2
have been the only,2
turkey did you,2
secure yourself for blue,2
turkey decide at the,2
kerbal when the,2
deny though,2
key,2
deny greece to the,2
revealed it to,2
end up there,2
for well,2
have been really,2
balkans this turn,2
have been placed but,2
not have,2
you dislodge,2
bal lvn cuts,2
have been,2
genuinely willing to,2
kiel to,2
have anywhere,2
right about this,2
early working with,2
of spiteful,2
kiel can be dangerous,2
kiel etc,2
pitch full rt,2
not good thing for,2
seems to be well,2
pissed off england,2
pissed off,2
we pull,2
and germany we can,2
bad as now turn,2
my plan is,2
kiel to fight,2
start hearing,2
start hearing some ideas,2
not good thing,2
offer since russia,2
middle we re,2
if you like to,2
we re back in,2
start insinuating,2
denmark or,2
pitting us against,2
they play,2
enemy fleet in,2
the best relationship with,2
rid of france,2
might as well have,2
place to be my,2
to communicate with each,2
bal in place which,2
hmmm well you,2
kie pri yikes,2
kie ruh,2
denmark the irony that,2
kie ruh mun,2
ride this,2
genuine answers,2
for what it,2
might as,2
kie to,2
my plans solidify,2
if not faster by,2
might also,2
rife with backstabbring,2
might actually lean,2
kiel,2
into an extra,2
england bel,2
they gave,2
intently working 14,2
next year assuming you,2
to crush that,2
silence is,2
stick with you even,2
has lost,2
sticking,2
instead slide south to,2
autocorrect version of,2
know well have,2
hold over the stalemate,2
austrians would,2
sticking up,2
instead of you,2
know what you think,2
next year bul,2
know what he,2
offering anything more valuable,2
offering me,2
know what should,2
know what should order,2
england in case,2
now support that,2
next year bul and,2
second option would,2
know what to tell,2
now so we have,2
has lots of fleets,2
instead they gave,2
instead they gave up,2
than it probably,2
persuasive and im,2
offered to march to,2
england get as,2
awake but may,2
know that will,2
know that will be,2
offered you spain,2
take it you,2
insurance in case,2
steps to demilitarize that,2
risk not,2
for him right,2
instead you lied to,2
instead you lied,2
risk not holding my,2
england has been true,2
know this is touchy,2
avoid lepanto,2
has no,2
instead would prefer to,2
avoid it,2
demand belgium rather support,2
know what you,2
england in harassing you,2
know that this,2
to deal with france,2
risky if austrai and,2
now that he advanced,2
to deal with all,2
second nmr that changes,2
permission that,2
rly,2
periodically check this all,2
england is being very,2
has essentially,2
austria would be the,2
perhaps you re,2
they also,2
austrians but after,2
well getting builds this,2
austria will support me,2
knowing whether to mark,2
now that you re,2
perhaps we can work,2
offers,2
cabin before,2
cabin before most of,2
austria will be,2
austria who,2
perhaps our best,2
risky if austrai,2
risky if,2
offering you right now,2
know why russia would,2
england in mao and,2
hold the,2
well contained or do,2
england in my territory,2
know where,2
second opinion on things,2
person is exhausting for,2
next year crush into,2
well do,2
to say opening,2
now that all,2
still cannot tell,2
has gotten,2
offering you partnership and,2
now that all the,2
has given gifts to,2
has given gifts,2
has given,2
hold though it,2
austrian move,2
has four armies,2
person doing,2
offering you right,2
know that this game,2
pesky ruski fleet,2
england better that,2
concerned about your northern,2
know if italy would,2
know if ll,2
they don get build,2
that means russia opened,2
they don calm down,2
england control the,2
den back eventually but,2
intend to attack germany,2
for iri,2
back and take,2
by her,2
intend it,2
to cover his tracks,2
than last night,2
back after to,2
pic bre sil war,2
intend asap to,2
ayyyy im definitely working,2
silver tongue,2
has to cover brest,2
hold mun and,2
hold mun and not,2
silver,2
know im ready to,2
getting much from,2
pic is,2
to counter,2
trying to persuade,2
england better that me,2
to coordinate it honestly,2
intentions with greece,2
back if they,2
right now things have,2
right now think,2
the fall love,2
move my forces to,2
we were to,2
that might be,2
to coordinate with,2
england can be,2
know if,2
den germany bal kie,2
right now you could,2
getting much,2
to coordinate your,2
to coordinate your move,2
pic would,2
pic to bel,2
stay coastal until,2
pic mun bur,2
similar mentality towards our,2
to cover his,2
know in bit,2
petard,2
to cruise,2
risk for me,2
they can work together,2
england france,2
by russia though,2
phase as,2
trying to be productive,2
england france is,2
petersburg you ll have,2
to crown you queen,2
know that as far,2
messaged them and they,2
england france told me,2
know in bit what,2
know that channels and,2
second point im,2
risk losing,2
know that doesnt make,2
my nerves were spot,2
france weirdly,2
by someone who shares,2
second place or to,2
know that if were,2
silent and uncooperative before,2
silent and uncooperative,2
to move into ruhr,2
weekend and he,2
weekend and,2
hold off germany she,2
trying to get england,2
know it,2
silly head,2
fuck with me in,2
that trade territory for,2
know italy think,2
by making it harder,2
by me pretending,2
philly once every,2
silesia with,2
that means picardy,2
right to be,2
away the,2
has the,2
right to be concerned,2
has tbqh been,2
rightly,2
rightly or,2
away later england,2
has stabbed,2
away in 1901 we,2
phase if,2
trying to convince the,2
noted understood he,2
but if france isnt,2
position to try and,2
don get anywhere if,2
hes telling you,2
if the opportunity,2
unfortunately can neither,2
need to do,2
really get eliminated before,2
it is going to,2
don feel comfortable,2
this winter,2
this will make it,2
to open against russia,2
this will make,2
is nice,2
the coming years,2
is nervous about you,2
really give,2
really give you,2
is needed on that,2
don get the wrong,2
don give,2
it is to,2
this whole endeavor,2
more maybe,2
to open against,2
pull out of bla,2
nervous at all,2
this works,2
some free,2
get the wrong,2
it if turkey,2
it if turkey is,2
it if us,2
dominating,2
some aid against austria,2
time so it,2
don anticipate building,2
don believe,2
don believe me,2
get the unit back,2
really enjoyed playing with,2
it impossible to breach,2
really feeling like there,2
really enjoyed talking,2
don betray me,2
bitchiness amongst,2
if the opportunity arises,2
is not concerned with,2
of us cant handle,2
head start,2
really feel,2
head out for,2
really feeling like,2
purposes relinquishing norway,2
so guess you,2
this whole,2
this weekend was great,2
really hard,2
for such,2
bight probably,2
full strength to get,2
from doing the,2
it last turn as,2
it leaves,2
bight into,2
taking on risk if,2
it leaves me some,2
dividing my efforts between,2
bigger problems for,2
he will hell,2
takedown to be from,2
more intel for you,2
dividing,2
ve been happy,2
he will get,2
really have any where,2
don intend,2
divided between going,2
ve been ordered,2
ve been ordered to,2
understandable for turkey to,2
understandable for turkey,2
that puts the,2
really good position to,2
is much greater,2
really good position,2
this weekend was,2
see to it that,2
for supply centers last,2
pull my,2
pull is the right,2
hes working with,2
for supply centers,2
is natural,2
it it isnt,2
it it isnt the,2
it juggernaut,2
pull france away from,2
pull france away,2
some dots that,2
diving for german dot,2
really good for us,2
it just the game,2
it keeps,2
don have another,2
not sure have the,2
don have another country,2
really good player and,2
most likely to,2
some advice on tactics,2
taking on france and,2
it if,2
solo,2
it feel any,2
most likely candidate,2
put on some theater,2
solidify our line and,2
an explosive game,2
solidify this,2
of upgrading it to,2
building,2
hes been working on,2
hes being,2
solidly dead so not,2
use my,2
is once,2
use my fleets,2
not support england into,2
do anything that,2
solo be definitive about,2
hear otherwise,2
hear me out we,2
hear me,2
you aren in immediate,2
use of that,2
hear it in,2
of us against,2
game ends in three,2
hes basically just,2
it especially,2
unit off from being,2
is pic eng bit,2
put up the,2
put up quite strong,2
conventional build of rome,2
solid and the british,2
heard as much,2
solid footing,2
solid footing in scandi,2
do at this point,2
of tyrolia so,2
it doesnt feel,2
it doesnt feel chill,2
heard anything,2
neither wins,2
if the turks decide,2
is paying,2
really attack are,2
really attack are italy,2
game just got less,2
is out,2
doesnt touch,2
more progress there,2
most likely can gain,2
put him in,2
really care anymore what,2
doing with italy,2
hes now doubled,2
time looking over the,2
headway,2
that help convince,2
not supposed,2
an experience,2
seeing him around it,2
black sea to support,2
black sea to,2
black sea fleet even,2
push them,2
push stop the leader,2
is nothing stopping me,2
and austria letting me,2
push russia out,2
black sea and potentially,2
doing while we,2
it here the sandbox,2
of us at,2
heads up for when,2
blabbers on and,2
taking on france,2
push out,2
some admittedly anti,2
hes offered,2
to opening as,2
doing things you,2
headway into the,2
headway into the balkans,2
solo in sight,2
solo is,2
hear from austria soon,2
really decided what,2
unit from,2
it getting,2
hes going to actually,2
of us all run,2
to play feminine,2
solo to germany if,2
hear and,2
it good,2
it good route,2
pushing for predictable play,2
of us are getting,2
an explosive,2
pushing along in,2
it got popped since,2
doing that in,2
those because we,2
and austria to help,2
doing the,2
doing the heavy lifting,2
don know how much,2
is more solid and,2
process you lose,2
properly,2
this point with me,2
is keeping you,2
of us will,2
for someone,2
more forward,2
ven pie tus,2
hey turkey im sure,2
hey turkey just,2
ven ruh mun tun,2
uncomfortable,2
proposal,2
get three builds,2
bulgaria in one fell,2
uncertainty is hard to,2
hey turkey just word,2
take your advice on,2
best way to partner,2
proof just,2
don want to be,2
some sort of peaceful,2
don want to go,2
some sort of understanding,2
don want to see,2
bulgaria we get greece,2
this riskier,2
he seemed,2
big time,2
it obviously makes,2
this season or no,2
bulgaria breach so before,2
don think to,2
to pounce,2
is last minute but,2
don think turkey,2
it objectively,2
timer and ran through,2
don think ve,2
don think we,2
some pretty shitty play,2
don trust anyone,2
undefended home centre,2
it off,2
propping up,2
propping him up,2
propping him,2
he sending,2
from bulgaria you be,2
don trust him,2
it on the front,2
he seems willing,2
bulgaria if you can,2
undefended home centre in,2
some stuff but,2
bulgaria when could,2
seeing you know,2
dislodge,2
it seems if,2
need me bringing,2
it seems like austria,2
he not,2
dislodge mao,2
it seems likely,2
he needs to use,2
best move for,2
more experienced here or,2
some time in,2
see the opening moves,2
disentangle,2
promised to support,2
discussions through message sharing,2
it shakes out,2
discussions through message,2
discussions through,2
see the opening,2
some troops,2
done turkey,2
it should be,2
get tickets to,2
done turkey is,2
game so,2
progress if,2
he not even,2
it seems an odd,2
best offers ive ever,2
some support,2
dislodging galicia,2
venice is pretty,2
really ruining,2
he open standard,2
dislodging,2
dislodge turkey from the,2
it requires tons of,2
it retains,2
dislodge turkey from,2
is it to be,2
dislodge turkey,2
bullish on us having,2
dislodge retreat to vie,2
dislodge retreat to,2
done in,2
that conflict,2
dislodge retreat,2
bullshit that,2
bullshit that in,2
done it twice and,2
done it you,2
he not going,2
and bul,2
of the territories you,2
ve spent the day,2
time to strategize etc,2
he was silent,2
built for armies but,2
really havent enjoyed this,2
really hope,2
he was in,2
he was gonna support,2
for the self,2
built so that text,2
really hope you,2
ve got,2
get out maneuvered,2
is me,2
understand that id like,2
understand that you would,2
he was,2
