,frequency
or similar,1
you how to play,1
or russia turkey so,1
you if,1
or russia turkey,1
or russia look like,1
you if could,1
you if could build,1
you if don,1
you if don want,1
you if you,1
or smooth talker you,1
or stp nc,1
or even going,1
or stp nc my,1
you hold it,1
you hold it without,1
you how,1
or two,1
you how to,1
or turkey or both,1
or turkey or,1
or turkey into moscow,1
or turkey into,1
or turkey,1
or to win,1
or to,1
or the black sea,1
or the black,1
or the,1
you if you prefer,1
or russia look,1
or russia,1
or rumania,1
or maybe,1
or lie it doesnt,1
or lie it,1
or lie,1
or into the ionian,1
or into the,1
or into,1
you in then,1
you in trie,1
you in trie if,1
or good day hehe,1
or good day,1
or good,1
you in two,1
you in two years,1
or maybe doesn,1
or maybe doesn want,1
or me,1
or mun bur ber,1
or not may actually,1
or not may,1
you in,1
or my gameplay style,1
or my gameplay,1
or my,1
or mun bur,1
or me before,1
or mun,1
or more fronts,1
or more,1
or me before trusting,1
you in from nth,1
you in sweden,1
you especially with italy,1
our commitment,1
our commitment this,1
you can trust someone,1
par den nth,1
par den,1
par and mar can,1
par and mar all,1
par and mar,1
you can walk into,1
par and,1
par,1
own to swing up,1
own to swing,1
own to,1
you cant,1
own talks secret,1
own talks,1
own front line,1
you can understand,1
par den nth par,1
own,1
par mar,1
you can really,1
you can really attack,1
you can set,1
you can set yourself,1
you can successfully,1
you can successfully bounce,1
paris,1
paradigm often ends,1
paradigm often,1
paradigm,1
par pic bre sil,1
par pic bre,1
par pic,1
you can trust,1
par mar are,1
own front,1
you cant say,1
outgunned at sea and,1
over norway,1
you commit,1
over lagergate,1
over italy all youll,1
over italy all,1
over italy,1
over east don trust,1
over east don,1
over east,1
over dumb stab,1
over dumb,1
over,1
outright you ve only,1
outright you ve,1
outright you,1
outright deceit,1
over lagergate and we,1
you chose to increase,1
overtly stabbing our allies,1
over norway and sweden,1
overtly stabbing our,1
you cant say anything,1
you chance,1
overtly,1
you chance to,1
you chance to have,1
you chance to negotiate,1
you chose,1
overloading him but this,1
overloading him but,1
overloading him,1
overloading,1
over the next days,1
over the next,1
you chose to,1
park it in the,1
part,1
part because,1
peace on,1
peace of minds,1
you can get your,1
peace of mind,1
you can have,1
you can have sweden,1
you can help,1
peace an,1
peace,1
you can help against,1
paths probably wont,1
you can if,1
you can if you,1
path where do you,1
path where do,1
path where,1
peace of minds if,1
peace on our,1
part because didn,1
peace on our front,1
you can convince turkey,1
you can cover,1
you can cover london,1
people you can,1
you can easily,1
you can easily take,1
you can get,1
people you,1
people having life but,1
people having life,1
people having,1
people are just trusting,1
people are just,1
people are,1
people,1
you can keep,1
you can keep stirring,1
you can keep your,1
you can launch,1
partner that make,1
partner that,1
partner,1
particularly committed to england,1
particularly committed to,1
you can probably,1
you can probably guess,1
part of this is,1
part of this,1
part of the convo,1
part of the,1
part of,1
part in that,1
part in,1
part because didn see,1
partner that make solid,1
party,1
party was,1
past the land and,1
you can launch counter,1
you can move,1
past turn,1
past the northern one,1
past the northern,1
past the lines,1
past the land,1
party was fun,1
you can move into,1
past each other in,1
past each other,1
past each,1
past,1
party was fun we,1
outright,1
outgunned at sea,1
our commitment this spring,1
out france,1
out for your,1
you down andthe turks,1
out for dinner,1
out for,1
out at some point,1
out at some,1
out at,1
you eat,1
out and you,1
out and russia says,1
you eat your,1
out and,1
out about in my,1
out about in,1
out about,1
out for your thoughts,1
out france first,1
our very own front,1
out france first and,1
you don want to,1
you dont,1
you dont say,1
you dont say truth,1
you down,1
you down andthe,1
out given the builds,1
out given the,1
out given,1
out german invasion in,1
out german invasion,1
out german,1
out from the middle,1
out from the,1
out from,1
out,1
our very own,1
outgunned at,1
our own,1
our moves over,1
our moves,1
our front so can,1
our front so,1
our front,1
our friendly north so,1
our friendly north,1
our friendly,1
you especially,1
our fleets as,1
our fleets,1
our defenses by working,1
our defenses by,1
our defenses,1
you especially with,1
our moves over the,1
our own talks,1
our very,1
our own talks secret,1
our pretty excellent year,1
our pretty excellent,1
our pretty,1
our peace of minds,1
you eat your lasagna,1
you ended,1
our peace of,1
you ended our pretty,1
you enough,1
our peace,1
you enough to,1
you enough to see,1
our paths probably wont,1
our paths probably,1
our paths,1
you don want,1
you don trust them,1
out of,1
out to them but,1
out to russia and,1
out to russia,1
you communicated at,1
you communicated at all,1
out to england,1
out to,1
out there as well,1
you could,1
out there as,1
out there,1
out russia in scandinavia,1
out russia in,1
you could approach,1
you could approach turkey,1
you could flip,1
out to them,1
out ton,1
you don trust,1
out ton last,1
outgunned,1
outcome is get sev,1
outcome is get,1
outcome is,1
outcome,1
out with you,1
you commit bla,1
you commit bla to,1
out what gonna,1
out what england does,1
out what england,1
out what am going,1
out what am,1
you communicated,1
out ton last turn,1
you could flip sides,1
out russia,1
you could have,1
you could have done,1
you didn get back,1
out of position until,1
out of position and,1
you didnt,1
out of each other,1
you didnt give,1
out of curiosity how,1
you didnt give up,1
out of curiosity,1
you don,1
you don have,1
out of belguim,1
you don have to,1
you don still,1
you don still pretty,1
you didn get,1
you didn,1
out of st,1
you decided,1
you dead,1
out peace on our,1
out peace on,1
you dead if,1
you dead if the,1
out on the,1
out of your hair,1
out of st petersburg,1
you decided to,1
you decided to catch,1
you destroy,1
you destroy turkey,1
out of the baltic,1
out of the,1
with anything,1
sufficiently distracted that,1
with anyone this season,1
to try and,1
to try,1
what can,1
what can do,1
what can do against,1
to trust what russia,1
to trust what,1
to trust,1
to trieste,1
to those terms,1
to those,1
to think that moving,1
to think that,1
to think and let,1
what do,1
to think and,1
what austria said to,1
to try and snatch,1
to think about,1
to tunis,1
to tyrolia,1
to tyr this turn,1
what are you,1
what are you thinking,1
what austria,1
to tyr,1
what austria said,1
to turn on austria,1
to turn on,1
to turn,1
to turkey while away,1
to turkey while,1
to turkey,1
to tunis this year,1
to tunis this,1
to think about it,1
to think,1
to tyrolia in their,1
to the north and,1
to the med than,1
to the med,1
to the idea of,1
to the idea,1
to the female minority,1
to the female,1
to the channel,1
to the baltic,1
to the balkans this,1
to the balkans,1
to the aegean and,1
to the aegean,1
to the,1
to that when done,1
to that when,1
to the north,1
what gonna happen,1
to them since that,1
what gonna,1
to them since,1
what do you,1
what do you think,1
what do you want,1
to them,1
what does,1
to the possibility,1
to the point where,1
what does your,1
what does your contact,1
to the point,1
to the other nations,1
what england,1
to the north sea,1
what england does,1
to tyrolia in,1
to understand,1
to that the,1
to working,1
to work with you,1
to work with them,1
to work with,1
to work well together,1
to work well,1
westwards,1
to work together,1
to work it out,1
to work it important,1
what,1
to work given all,1
to work given,1
to work,1
to win,1
to while away sleepless,1
western tripple he may,1
to working together,1
to while,1
to working together but,1
to you for,1
to you and so,1
to you and give,1
to you and,1
to you,1
to write me off,1
to write me,1
to write,1
to worry about you,1
to worry about england,1
to worry about,1
to worry,1
to working with you,1
to working with,1
western tripple he,1
to while away,1
to what can do,1
to units,1
to want you,1
to want to,1
to want,1
to wait until sunday,1
to wait until,1
to wait,1
to use on austria,1
to use on,1
to use it however,1
to use it,1
to use,1
what are his,1
to us,1
to units if you,1
to units if,1
what are his plans,1
what are,1
to want you dead,1
to what can,1
what am going to,1
to what,1
what am,1
to wes,1
to watch your back,1
to watch your,1
to watch,1
to waste units one,1
to waste units,1
to waste,1
to warn me before,1
to warn me,1
to warn,1
what am going,1
to war gal without,1
to war gal,1
to that the only,1
to that,1
trying for ukraine,1
to sow,1
to solo is,1
to solo,1
to so that support,1
to so that,1
to so,1
to smyrna,1
to skycon out in,1
to skycon out,1
to skycon,1
to sit here and,1
to sit here,1
to sit down and,1
to sit down,1
to sit,1
to single one of,1
to solo is the,1
to sow distrust,1
to single,1
to sow distrust among,1
to stab my long,1
to stab my,1
to stab me,1
to stab germany who,1
to stab germany,1
to stab,1
to spread lies to,1
to spread lies,1
to spread,1
what he,1
to split up,1
to split,1
what he claims,1
what he claims going,1
what he ll,1
to single one,1
to simplify things we,1
to start out,1
to send some,1
to send skaggerak,1
to send it to,1
to send it,1
to send,1
to see you solo,1
to see you re,1
to see you,1
to see much point,1
to see much,1
to see if theres,1
to see if draw,1
to see if,1
what he says,1
to say hello,1
to say,1
to send skaggerak to,1
to send some troops,1
to simplify things,1
to set,1
to simplify,1
to shrink myself for,1
to shrink myself,1
to shrink,1
to show conflict to,1
to show conflict,1
to show,1
to shove all my,1
to shove all,1
to shove,1
to share that with,1
to share that,1
to share,1
what he ll do,1
to set up,1
to start,1
to start out on,1
to tell you what,1
to take denmark and,1
to take belgium this,1
to take belgium,1
to take back stp,1
to take back,1
to take any of,1
to take any,1
to take,1
to swing up for,1
to swing up,1
to swing,1
to sweden so that,1
to sweden so,1
to sweden,1
to supporting me in,1
to supporting me,1
to take denmark,1
to take it,1
to support war holding,1
to take it this,1
to tell you how,1
to tell you,1
to tell me what,1
to tell me,1
to tell italy plan,1
to tell italy,1
to tell,1
to talk really quick,1
to talk really,1
to talk,1
to take you down,1
to take you,1
to take smyrna,1
to take my suggestions,1
to take my,1
to supporting,1
to support war,1
to starve,1
to strategize,1
to stop the at,1
to stop the,1
to stop propping him,1
to stop propping,1
to stop,1
what happens except,1
to stay put just,1
to stay put and,1
what happens except if,1
to stay put,1
to stay out of,1
to stay out,1
to stay,1
to starve him of,1
to starve him,1
to stop them,1
to strategize etc,1
to support smyrna need,1
what happens,1
to support smyrna,1
to support my guy,1
what gonna happen to,1
to support my,1
to support me into,1
to support me in,1
to support me,1
to support kie mun,1
to support kie,1
to support either england,1
to support either,1
to support,1
to such lengths to,1
to such lengths,1
to such,1
to you for fall,1
to you if,1
to you if could,1
triest would be,1
triest,1
tried to be as,1
tried to be,1
tried to,1
tried,1
trie if you prefer,1
trie if you,1
trie if,1
trie,1
tricky since if he,1
tricky since if,1
tricky since,1
tricky,1
trickery no outright deceit,1
trickery no outright,1
triest would,1
triest would be great,1
trickery,1
trieste,1
tripple,1
triple as turkey suggested,1
triple as turkey,1
triple as,1
triple,1
trieste smyrna serbia greece,1
trieste smyrna serbia,1
trieste smyrna,1
trieste can let you,1
trieste can let,1
trieste can,1
trieste by italy is,1
trieste by italy,1
trieste by,1
trieste apparently,1
trickery no,1
were to,1
tripple he may,1
transit,1
transfer belgium to,1
were to follow this,1
were you,1
train of thought on,1
train of thought,1
train of,1
train now haha,1
train now,1
train,1
tracks,1
towards taking out russia,1
towards taking out,1
towards taking,1
towards potential alliance between,1
towards potential alliance,1
transfer belgium to me,1
were to follow,1
trick him into,1
transit to skycon,1
trick him,1
trick,1
tri unit or at,1
tri unit or,1
tri unit,1
tri apu ven,1
were to build,1
tri and vie,1
tri and,1
tri,1
transparency going to be,1
transparency going to,1
transparency going,1
were to build fleet,1
transit to skycon out,1
tripple he,1
tripple he may be,1
to you if you,1
try and,1
truth or lie it,1
truth or lie,1
truth or,1
truth,1
trustworthy england is cutthroat,1
trustworthy england is,1
trustworthy england,1
trustworthy,1
trusting like that,1
trusting like,1
trusting him to turn,1
trusting him to,1
trusting him,1
trusting,1
trust you to follow,1
were speaking very different,1
try and snatch,1
trust you re certainly,1
try and snatch sevastopol,1
were speaking very,1
trying,1
try to take belgium,1
try to take,1
try to shove all,1
try to shove,1
try to get solo,1
try to get,1
try to finagle germany,1
try to finagle,1
try to evacuate that,1
try to evacuate,1
try to,1
try and trick him,1
try and trick,1
trust you to,1
trust you re,1
troops,1
trust and that they,1
trust and,1
trust,1
truly and this queens,1
truly and this,1
truly and,1
truly,1
were sure the,1
true,1
trouble in little anatolia,1
trouble in little,1
trouble in,1
trouble,1
troops over east don,1
troops over east,1
were sure the army,1
trust and that,1
trust anyone,1
trust you enough to,1
trust anyone on,1
trust you enough,1
trust you,1
trust what russia is,1
trust what russia,1
trust what,1
trust them then it,1
trust them then,1
trust them,1
trust the russians,1
trust the,1
trust someone being so,1
were sure,1
trust someone being,1
trust someone,1
trust anyone on the,1
towards potential,1
towards dots that are,1
were you but,1
told him be attacking,1
told him,1
told,1
together we can take,1
together we can,1
together we,1
together starting to realize,1
together starting to,1
west,1
together starting,1
together somehow though,1
together somehow,1
together so we aren,1
together so we,1
together so,1
together since we both,1
told him be,1
told him that,1
together since,1
told him that my,1
told me your,1
told me you were,1
told me you,1
told me too,1
told me theyre staying,1
told me theyre,1
told me that you,1
told me that he,1
told me that,1
told me tell you,1
told me tell,1
told me about this,1
told me about,1
told me,1
told him that plan,1
together since we,1
west and,1
towards dots,1
together,1
toes if were,1
toes if,1
toes,1
west that fine too,1
today,1
western,1
to your work,1
to your long term,1
to your long,1
to your,1
western tripple,1
to you to,1
to you though,1
to you or not,1
to you or,1
toes if were you,1
west that fine,1
together or you,1
west that,1
together or not,1
together or,1
together once see not,1
together once see,1
together once,1
together good strategy,1
together good,1
together from there,1
together from,1
together but my main,1
west and getting,1
together but,1
together and score two,1
together and score,1
west and getting anything,1
told me your moving,1
told you,1
told you were,1
touch and go,1
touch,1
totally out of your,1
totally out of,1
totally out,1
totally opposed to my,1
totally opposed to,1
totally opposed,1
totally,1
total,1
top,1
took us out,1
took us,1
took,1
too obvious it us,1
too obvious it,1
touch and,1
touch and go situation,1
told you were looking,1
touch though,1
towards,1
tough that all,1
tough that,1
tough sell just wish,1
tough sell just,1
tough sell,1
tough position where their,1
tough position where,1
tough position,1
tough fucking spot and,1
tough fucking spot,1
tough fucking,1
tough,1
touch though let me,1
touch though let,1
too obvious,1
too new this turn,1
too new this,1
too new,1
too but it ll,1
wes could slow them,1
too but all is,1
too but all,1
too but,1
too big risk for,1
too big risk,1
too big,1
too,1
tonight,1
ton last turn my,1
ton last turn,1
ton last,1
ton,1
tomorrow,1
too crazy,1
too crazy in,1
too crazy in the,1
too likely,1
too long term,1
too long or even,1
too long or,1
too long,1
too likely case am,1
too likely case,1
wes,1
too early,1
wes could,1
too inclined to,1
too inclined,1
wes could slow,1
too good player,1
too good,1
to russia and see,1
to russia and,1
to russia,1
what say,1
to england by simply,1
to england by,1
to england but the,1
to england but,1
to england as well,1
what they ll,1
to england as,1
what they ll be,1
what they re,1
to edi,1
to easily walk into,1
to easily walk,1
to easily,1
what they re doing,1
what they stand,1
what they,1
to england that,1
to do with,1
to england that he,1
to fight,1
to fend them off,1
to fend them,1
to fend,1
to feel safer,1
what russia,1
to feel,1
to fall 01,1
what russia is,1
to evacuate that unit,1
to evacuate that,1
what russia is up,1
to evacuate,1
to england think were,1
to england think,1
what they stand to,1
what to,1
to fight him and,1
to discuss,1
to dig up,1
to dig,1
to deny though,1
to deny,1
to denmark is tempting,1
to denmark is,1
to denmark for two,1
to denmark for,1
to denmark,1
to demilitarize tyr for,1
to demilitarize tyr,1
to demilitarize,1
to defend himself and,1
to defend himself,1
to defend but is,1
to dig up your,1
to discuss the,1
to do something,1
to discuss the three,1
to do some damage,1
to do some,1
to do into bel,1
to do into,1
to do fairly standard,1
to do fairly,1
to do differently,1
to do at the,1
to do at,1
to do alb ven,1
to do alb,1
to do,1
to discussing them with,1
to discussing them,1
to discussing,1
to fight him,1
to figure,1
to go north,1
to get us to,1
to get something,1
what its where,1
to get rid if,1
to get rid,1
to get norway back,1
to get norway,1
to get into burgundy,1
to get into,1
to get greece in,1
to get greece,1
to get builds,1
to get build here,1
to get build,1
to get back to,1
to get back,1
to get us,1
to get you,1
to get and,1
to get you turkish,1
to go forward with,1
to go forward,1
to go for mao,1
to go for,1
to go deal with,1
to go deal,1
to go back in,1
to go back,1
to go all the,1
to go all,1
to go,1
what its,1
to give up their,1
to give up,1
to give,1
to get and more,1
to get along well,1
what message,1
to follow this sort,1
to follow,1
to focus our combine,1
to focus our,1
to focus,1
to flirt with female,1
to flirt with,1
to flirt,1
to finland this turn,1
to finland this,1
to finland,1
to finagle germany on,1
to finagle germany,1
to finagle,1
to figure out what,1
to figure out,1
to follow this,1
to follow through,1
to get along,1
to follow through with,1
to get,1
to germany if can,1
to germany if,1
what its where that,1
to germany,1
to galicia and trieste,1
to galicia and,1
to galicia,1
to gain,1
to fruition,1
to france at all,1
to france at,1
to france about that,1
to france about,1
to france,1
to defend but,1
to defend,1
to dedicate time to,1
to because of,1
to be two way,1
to be two,1
to be the last,1
to be the,1
to be sure,1
to be really specific,1
to be really,1
to be party,1
to be no help,1
to be no,1
to be moving into,1
to be moving,1
to be interested so,1
to be interested,1
to be in the,1
to because,1
to because of that,1
to be honest,1
to become,1
to black sea,1
to black,1
to betray trust you,1
to betray trust,1
to betray,1
to bel with nth,1
to bel with,1
to bel and its,1
to bel and,1
to bel,1
to being concerned about,1
to being concerned,1
to being,1
to become threat first,1
to become threat,1
to be in,1
to be going to,1
to dedicate time,1
what wanted to,1
to be and can,1
to be and,1
to be,1
to baltic,1
to avoid the convoy,1
to avoid the,1
to avoid is scenario,1
to avoid is,1
to avoid,1
to attempt munich this,1
to attempt munich,1
what was,1
to attack them so,1
to attack them,1
to attack rum or,1
what wanted to hear,1
what wanted,1
to be going,1
to be as,1
what up with,1
to be friends you,1
to be friends,1
to be focused on,1
to be focused,1
what up with the,1
to be disbanded,1
to be blunt don,1
what use,1
what use is,1
to be blunt,1
what use is it,1
to be as strong,1
to be as honest,1
to be as active,1
to black sea or,1
to block,1
to block off,1
to coordinating,1
to control the,1
to control,1
to continue your attack,1
to continue your,1
to continue,1
to consider our moves,1
to consider our,1
to consider is if,1
to consider is,1
to consider,1
to con that would,1
to con that,1
to con,1
to communicate with other,1
to communicate with,1
to control the growth,1
to coordinating to,1
to block off france,1
to coordinating to control,1
to dedicate,1
to cut support in,1
to cut support,1
to cut,1
to crush turkey within,1
to crush turkey,1
to crush him once,1
to crush him,1
to crush,1
to cp and then,1
to cp and,1
to cp,1
to cover bulgaria so,1
to cover bulgaria,1
to cover,1
to communicate,1
to collaborate ve got,1
to collaborate ve,1
to collaborate,1
what to do,1
to build fleet,1
to build,1
to bring the fantasy,1
to bring the,1
to bring,1
to brainstorm to what,1
to brainstorm to,1
to brainstorm,1
to bounce you in,1
what to do at,1
to bounce,1
to blow past the,1
what up,1
to blow,1
to build units,1
to build units in,1
to builds,1
to catch up with,1
to check in assure,1
to check in,1
to check,1
to chat about russian,1
to chat about,1
to chat,1
to catch up,1
to builds this,1
to catch,1
to burgundy,1
to bur is pointless,1
to bur is,1
to bur,1
to builds this year,1
what italy told me,1
to go north in,1
to run out at,1
to move to con,1
to move through russia,1
to move through,1
to move their fleet,1
to move their,1
to move into mao,1
to move into good,1
to move into,1
to move in my,1
to move in,1
what hear from germany,1
to move,1
to moscow as well,1
to moscow as,1
to moscow,1
to me which,1
to move to,1
to move to the,1
to me til,1
to move up,1
to not do that,1
to not do,1
to not,1
to negotiate,1
to nao but otherwise,1
what hear from,1
to nao but,1
to nao,1
to my order suggestion,1
to my order,1
to my attack on,1
to my attack,1
to my,1
to munich,1
to move up to,1
to me til monday,1
to me that he,1
to not lose the,1
to me all,1
to me about,1
to me,1
to marseilles im basically,1
to marseilles im,1
to marseilles,1
to mar,1
to mao and putting,1
to mao and,1
to mao,1
to manageable size think,1
what if,1
to manageable,1
to manage,1
to make these mistakes,1
to make these,1
to me about attacking,1
to me all the,1
to me that,1
to me bout,1
to me staying with,1
to me staying,1
to me so that,1
to me so,1
to me much anymore,1
to me much,1
to me in the,1
to me in,1
to me hinted that,1
to me hinted,1
to me but ill,1
to me but,1
to me briefly and,1
to me briefly,1
to me bout it,1
to not lose,1
to not offer,1
to go tattle,1
to reneg whether ive,1
to reneg,1
what he told,1
to redeploy west that,1
to redeploy west,1
to redeploy,1
to realize the full,1
to realize the,1
to realize,1
to quickly grab your,1
to quickly grab,1
to quickly,1
to push russia out,1
to push russia,1
to push back at,1
to push back,1
to reneg whether,1
to resist,1
to pull crazy ivan,1
to resist sooner,1
to run out,1
to run,1
to ruhr which doesn,1
to ruhr which,1
to ruhr and berlin,1
to ruhr and,1
to ruhr,1
to rock and roll,1
to rock and,1
to rock,1
to retreat to bel,1
to retreat to,1
to retreat,1
to respond,1
to resist sooner rather,1
to push,1
to pull crazy,1
to not offer the,1
what he wants me,1
to pin down turkey,1
to pin down,1
to pin,1
to others about me,1
to others about,1
to others,1
to organize bounce in,1
to organize bounce,1
to organize,1
to nth from bel,1
to nth from,1
to nth,1
to not understand that,1
to not understand,1
what hear,1
to play,1
what he wants,1
to pull,1
to point,1
to protect bel nth,1
to protect bel,1
to protect,1
to prevent stab,1
to prevent juggernaut we,1
to prevent juggernaut,1
to prevent,1
to potentially get the,1
to potentially get,1
what he told me,1
to pool intelligence and,1
to pool intelligence,1
to pool,1
to point you towards,1
to point you,1
to make sure don,1
to make sure,1
to make it stick,1
what is,1
to help them fight,1
what is he doing,1
to help if the,1
to help if,1
to help germany at,1
what italy,1
to help,1
to hedgehog the word,1
to hedgehog the,1
to hedgehog,1
to hear yours as,1
to hear yours,1
to hear your suggestions,1
to hear your response,1
to hear your,1
what is he,1
to him,1
to hear you,1
to him last,1
to ion,1
to increase distrust of,1
to increase distrust,1
to increase,1
to imagine people having,1
to imagine people,1
to imagine he chose,1
to imagine he,1
what if you support,1
to hold warsaw or,1
to hold warsaw,1
to hold,1
to hit sev,1
to hit,1
to him last phase,1
to hear you and,1
to hear from both,1
to make it,1
to have him,1
to have belgium,1
to have austria thinking,1
to have austria,1
to have,1
to happen,1
to handle the situation,1
to handle the,1
to handle,1
to go to ruhr,1
to go to nth,1
to go to albania,1
to go to,1
to go the way,1
to go the,1
to go tattle to,1
what italy told,1
to have him do,1
to hear from,1
to have nice,1
to hear believe you,1
to hear believe,1
to hear back,1
to hear,1
to have written me,1
to have written,1
to have to push,1
to have to,1
to have this resolved,1
to have this,1
to have the best,1
to have the,1
to have rumania and,1
to have rumania,1
to have nice game,1
to ion with,1
to ion with queen,1
to it,1
to lon ec,1
to lock up italy,1
to lock up,1
to lock,1
to lie to you,1
to lie to,1
to lie,1
to let you know,1
to let you,1
to let,1
to lesser degree austria,1
to lesser degree,1
to lesser,1
to lepanto now,1
to lepanto,1
to leave the game,1
to lon,1
to lon ec edi,1
to it that,1
to london,1
to make go for,1
to make go,1
to make burgundy the,1
to make burgundy,1
to make an attack,1
to make an,1
to make,1
to lose at least,1
to lose at,1
to lose,1
to look at whatever,1
to look at,1
to look,1
to london no need,1
to london no,1
to leave the,1
to leave,1
to learn how you,1
to learn how,1
to keep me alive,1
to keep me,1
to keep france out,1
to keep france,1
to keep all communications,1
to keep all,1
to keep,1
to just hand over,1
to just hand,1
to just,1
to join forces which,1
to join forces,1
to join,1
to italy,1
to it that neither,1
what if you,1
to keep our,1
to keep our own,1
to know if im,1
to learn,1
to lay off of,1
to lay off,1
to lay,1
to know more than,1
to know more,1
to know if,1
to keep the,1
to know,1
to keep to your,1
to keep to,1
to keep them at,1
to keep them,1
to keep the french,1
trying for,1
trying for ukraine again,1
to attack him for,1
war of armies,1
war mos,1
war in the south,1
war in the,1
war in,1
war holding then with,1
war holding then,1
well think admin adviser,1
war gal without working,1
war gal without,1
war gal,1
war,1
wants to move through,1
wants to move,1
well think you,1
wants to go north,1
war of,1
war swe,1
wants to,1
war swe den,1
warsaw or vienna,1
warsaw or,1
warsaw in spring,1
warsaw in,1
warsaw,1
warning,1
warned when they re,1
warned when they,1
warned when,1
warned,1
warn me before any,1
warn me before,1
warn me,1
warn,1
war swe den war,1
well think you ve,1
wants me to go,1
was,1
wanted to protect bel,1
wanted to let you,1
wanted to let,1
wanted to hear believe,1
wanted to hear,1
wanted to check in,1
wanted to check,1
wanted to,1
wanted bur thats all,1
wanted bur thats,1
wanted bur,1
wanted,1
want you dead if,1
well together since,1
want you can successfully,1
want you can,1
well together,1
wanted to say,1
well to,1
wanted to say hello,1
wants me to,1
wants me,1
wants it it can,1
wants it it,1
well to show,1
wants it badly,1
wants it,1
wants brest eventually,1
wants brest,1
wants,1
wanted us to be,1
wanted us to,1
wanted us,1
wanted to share that,1
well to show conflict,1
warsaw or vienna at,1
was am,1
want to work with,1
was really strange,1
was previously an engineer,1
was previously an,1
was previously,1
was not great for,1
was not great,1
was not,1
well that,1
was my first,1
was my,1
was moving into the,1
was moving into,1
was moving,1
was more concerned with,1
was more concerned,1
was more,1
was really,1
was really strange early,1
was like but,1
was ruined,1
was that they would,1
was that they,1
was that or die,1
was that or,1
was that just because,1
was that just,1
was that,1
was taken very surprised,1
was taken very,1
was taken,1
was sure he smell,1
was sure he,1
was sure,1
was ruined the moment,1
was ruined the,1
was like but but,1
was like,1
was am trying,1
was fun we,1
was enabled however,1
was enabled,1
was dumb unless he,1
was dumb unless,1
well that was,1
was dumb,1
was dropped off,1
was dropped,1
was being tried,1
was being,1
was anything could do,1
was anything could,1
well think admin,1
was anything,1
was am trying to,1
was fun,1
was fun we went,1
well that may,1
was going,1
was kinda dumb,1
was kinda,1
was just protecting my,1
was just protecting,1
well that may tip,1
was in wintergreen alliance,1
was in wintergreen,1
was in,1
was her explanation of,1
was her explanation,1
was her,1
was good progress,1
was good,1
was going to retreat,1
was going to,1
want you,1
want to work,1
trying to,1
wait realize now that,1
wait realize,1
wait for some secondary,1
wait for some,1
wait for,1
wait,1
vitality and yet,1
vitality and,1
vitality,1
viewed the message without,1
viewed the message,1
viewed the,1
viewed,1
well turkey is now,1
vienna at the same,1
well with,1
wait realize now,1
wait until,1
vienna at,1
wait until sunday,1
wal yor lon,1
wal yor,1
wal lon to watch,1
wal lon to,1
wal lon,1
wal,1
waiting to hear from,1
waiting to hear back,1
waiting to hear,1
waiting to,1
waiting for replies from,1
waiting for replies,1
waiting for,1
waiting,1
wait until sunday night,1
vienna at the,1
vienna and budapest,1
wales,1
very weak england is,1
very weak,1
very surprised in large,1
very surprised in,1
very surprised,1
very quickly,1
very powerful alliance that,1
very powerful alliance,1
very powerful,1
very own front line,1
very own front,1
very own,1
very much to hear,1
very much to,1
very much like that,1
very much like,1
very weak england,1
via,1
well with you,1
via irish,1
vienna and,1
vienna,1
well with you and,1
vie pru ber,1
vie pru,1
vie in spring and,1
went,1
vie in,1
vie,1
victory than way,1
victory than,1
victory,1
went for,1
via irish ec and,1
via irish ec,1
wal yor lon yor,1
wales can,1
want to take any,1
want to hear yours,1
want to handle the,1
want to handle,1
want to go forward,1
want to go,1
want to agree to,1
want to agree,1
want to,1
want the peace of,1
want the peace,1
want the army out,1
want the army,1
want the,1
want support into mao,1
want support into,1
want support,1
want to hear,1
want to know,1
want spain and,1
want to know more,1
want to take,1
well together since we,1
want to starve,1
want to simplify things,1
want to simplify,1
want to redeploy west,1
want to redeploy,1
want to prevent juggernaut,1
want to prevent,1
want to pin down,1
want to pin,1
want to lie to,1
want to lie,1
want to lepanto now,1
want to lepanto,1
want spain and portugal,1
want spain,1
wales can just,1
want me,1
want an extra front,1
want an extra,1
well turkey is,1
want,1
walking past each other,1
walking past each,1
walking past,1
walking,1
walk into sevastopol next,1
walk into sevastopol,1
walk into austria and,1
walk into austria,1
walk into,1
walk,1
wales can just move,1
want it,1
want me to,1
want something for moving,1
want me to go,1
want something for,1
want something,1
want russia tough that,1
want russia tough,1
want russia to be,1
want russia to,1
want russia,1
want or to win,1
want or to,1
well turkey,1
want my spa to,1
want my spa,1
want my,1
want me to move,1
want me to have,1
was thinking,1
was thinking about,1
was thinking about negotiating,1
well moving,1
we ll see my,1
we ll see,1
we ll draw or,1
we ll draw,1
we ll,1
we learn from and,1
we learn from,1
we learn,1
we knew english orders,1
we knew english,1
we knew,1
we illustrate our commitment,1
we illustrate our,1
we illustrate,1
we have to,1
well moving away,1
we may be able,1
we have time,1
well ll let you,1
we re,1
well ll,1
well ll let,1
we put,1
we pledge to keep,1
we pledge to,1
we pledge,1
we need to worry,1
we need to talk,1
we need to,1
we need is for,1
we need is,1
we need,1
we maybe want to,1
we maybe want,1
we have time to,1
we have number of,1
well if that their,1
we could potentially come,1
we could look at,1
we could look,1
we could have you,1
we could have very,1
we could have,1
we could also bounce,1
we could also,1
we could,1
