,feature_politeness_==Please==,feature_politeness_==Please_start==,feature_politeness_==HASHEDGE==,feature_politeness_==Indirect_(btw)==,feature_politeness_==Hedges==,feature_politeness_==Factuality==,feature_politeness_==Deference==,feature_politeness_==Gratitude==,feature_politeness_==Apologizing==,feature_politeness_==1st_person_pl.==,feature_politeness_==1st_person==,feature_politeness_==1st_person_start==,feature_politeness_==2nd_person==,feature_politeness_==2nd_person_start==,feature_politeness_==Indirect_(greeting)==,feature_politeness_==Direct_question==,feature_politeness_==Direct_start==,feature_politeness_==HASPOSITIVE==,feature_politeness_==HASNEGATIVE==,feature_politeness_==SUBJUNCTIVE==,feature_politeness_==INDICATIVE==,msg_id
Game10-england-germany-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Game10-england-germany-82
Game10-england-germany-89,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game10-england-germany-89
Game10-england-germany-100,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Game10-england-germany-100
Game10-england-germany-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game10-england-germany-106
Game10-england-germany-107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game10-england-germany-107
Game10-england-germany-110,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game10-england-germany-110
Game10-england-germany-115,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,Game10-england-germany-115
Game10-england-germany-142,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game10-england-germany-142
Game10-england-germany-143,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,Game10-england-germany-143
Game10-england-germany-144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game10-england-germany-144
Game10-england-germany-152,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game10-england-germany-152
Game10-england-germany-154,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game10-england-germany-154
Game10-england-germany-156,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,Game10-england-germany-156
Game10-england-germany-160,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Game10-england-germany-160
Game10-turkey-germany-0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,Game10-turkey-germany-0
Game10-turkey-germany-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Game10-turkey-germany-1
Game10-germany-france-0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,Game10-germany-france-0
Game10-germany-france-8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game10-germany-france-8
Game10-germany-france-10,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,Game10-germany-france-10
Game10-germany-france-12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,Game10-germany-france-12
Game10-germany-france-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game10-germany-france-13
Game10-germany-france-14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game10-germany-france-14
Game10-germany-france-16,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game10-germany-france-16
Game10-germany-france-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game10-germany-france-17
Game10-germany-france-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Game10-germany-france-19
Game10-germany-france-26,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,Game10-germany-france-26
Game10-germany-france-28,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game10-germany-france-28
Game10-austria-russia-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game10-austria-russia-4
Game10-austria-russia-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Game10-austria-russia-10
Game10-austria-russia-11,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,Game10-austria-russia-11
Game10-austria-russia-18,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game10-austria-russia-18
Game10-austria-russia-19,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,Game10-austria-russia-19
Game10-austria-russia-21,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,Game10-austria-russia-21
Game10-austria-russia-26,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game10-austria-russia-26
Game10-austria-russia-29,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,Game10-austria-russia-29
Game10-austria-russia-30,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Game10-austria-russia-30
Game10-austria-russia-34,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,Game10-austria-russia-34
Game10-austria-russia-35,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,Game10-austria-russia-35
Game10-austria-russia-37,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,Game10-austria-russia-37
Game10-austria-russia-39,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,Game10-austria-russia-39
Game10-austria-russia-41,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,Game10-austria-russia-41
Game10-austria-russia-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Game10-austria-russia-42
Game10-austria-russia-43,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,Game10-austria-russia-43
Game10-austria-russia-47,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game10-austria-russia-47
Game10-austria-russia-49,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Game10-austria-russia-49
Game10-austria-russia-50,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,Game10-austria-russia-50
Game10-austria-russia-52,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Game10-austria-russia-52
Game10-austria-russia-56,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game10-austria-russia-56
Game10-austria-russia-58,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game10-austria-russia-58
Game10-austria-russia-60,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,Game10-austria-russia-60
Game10-austria-russia-63,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Game10-austria-russia-63
Game10-austria-russia-69,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game10-austria-russia-69
Game10-austria-russia-82,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game10-austria-russia-82
Game10-austria-russia-84,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,Game10-austria-russia-84
Game10-austria-russia-89,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,Game10-austria-russia-89
Game10-austria-russia-91,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,Game10-austria-russia-91
Game10-austria-russia-93,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,Game10-austria-russia-93
Game10-austria-russia-96,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,Game10-austria-russia-96
Game10-austria-russia-98,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,Game10-austria-russia-98
Game10-austria-russia-110,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game10-austria-russia-110
Game10-austria-russia-111,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game10-austria-russia-111
Game10-austria-russia-112,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,Game10-austria-russia-112
Game10-austria-russia-116,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,Game10-austria-russia-116
Game10-austria-russia-119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,Game10-austria-russia-119
Game10-austria-russia-121,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,Game10-austria-russia-121
Game10-austria-russia-122,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,Game10-austria-russia-122
Game10-austria-russia-126,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game10-austria-russia-126
Game10-austria-russia-128,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,Game10-austria-russia-128
Game10-austria-russia-133,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game10-austria-russia-133
Game10-austria-russia-134,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game10-austria-russia-134
Game10-austria-russia-135,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,Game10-austria-russia-135
Game10-austria-russia-138,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Game10-austria-russia-138
Game10-austria-russia-141,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,Game10-austria-russia-141
Game10-austria-russia-144,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game10-austria-russia-144
Game10-austria-russia-146,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game10-austria-russia-146
Game10-austria-russia-147,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Game10-austria-russia-147
Game10-austria-russia-150,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game10-austria-russia-150
Game10-austria-russia-152,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game10-austria-russia-152
Game10-austria-russia-153,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game10-austria-russia-153
Game10-england-austria-6,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,Game10-england-austria-6
Game10-england-austria-7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game10-england-austria-7
Game10-england-austria-11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game10-england-austria-11
Game10-england-austria-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game10-england-austria-24
Game10-england-austria-28,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Game10-england-austria-28
Game10-england-austria-30,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Game10-england-austria-30
Game10-england-austria-32,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Game10-england-austria-32
Game10-england-austria-46,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game10-england-austria-46
Game10-turkey-austria-1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,Game10-turkey-austria-1
Game10-turkey-austria-2,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,Game10-turkey-austria-2
Game10-turkey-austria-5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Game10-turkey-austria-5
Game10-turkey-austria-6,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,Game10-turkey-austria-6
Game10-turkey-austria-7,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,Game10-turkey-austria-7
Game10-austria-france-5,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game10-austria-france-5
Game10-austria-france-7,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game10-austria-france-7
Game10-austria-france-10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game10-austria-france-10
Game10-austria-france-13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Game10-austria-france-13
Game10-austria-france-14,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,Game10-austria-france-14
Game10-austria-france-20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Game10-austria-france-20
Game10-austria-france-23,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,Game10-austria-france-23
Game10-austria-france-26,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,Game10-austria-france-26
Game10-austria-france-27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game10-austria-france-27
Game10-austria-france-31,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,Game10-austria-france-31
Game10-england-russia-2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,Game10-england-russia-2
Game10-england-russia-3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game10-england-russia-3
Game10-england-russia-4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,Game10-england-russia-4
Game10-england-russia-6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game10-england-russia-6
Game10-england-russia-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game10-england-russia-8
Game10-england-russia-15,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,Game10-england-russia-15
Game10-england-russia-17,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game10-england-russia-17
Game10-england-russia-19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,Game10-england-russia-19
Game10-england-russia-25,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,Game10-england-russia-25
Game10-england-russia-30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Game10-england-russia-30
Game10-england-russia-33,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Game10-england-russia-33
Game10-england-russia-35,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,Game10-england-russia-35
Game10-turkey-russia-1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game10-turkey-russia-1
Game10-turkey-russia-8,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,Game10-turkey-russia-8
Game10-france-russia-6,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game10-france-russia-6
Game10-france-russia-8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Game10-france-russia-8
Game10-france-russia-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game10-france-russia-10
Game10-england-france-1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,Game10-england-france-1
Game10-england-france-12,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,Game10-england-france-12
Game10-england-france-14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Game10-england-france-14
Game11-germany-italy-0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Game11-germany-italy-0
Game11-germany-italy-14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Game11-germany-italy-14
Game11-germany-italy-17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game11-germany-italy-17
Game11-germany-italy-24,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-germany-italy-24
Game11-germany-italy-26,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game11-germany-italy-26
Game11-germany-italy-29,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game11-germany-italy-29
Game11-germany-italy-32,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Game11-germany-italy-32
Game11-germany-italy-34,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,Game11-germany-italy-34
Game11-germany-italy-36,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Game11-germany-italy-36
Game11-germany-italy-42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Game11-germany-italy-42
Game11-germany-italy-48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Game11-germany-italy-48
Game11-germany-italy-52,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,Game11-germany-italy-52
Game11-germany-italy-53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Game11-germany-italy-53
Game11-germany-italy-54,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Game11-germany-italy-54
Game11-germany-italy-58,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game11-germany-italy-58
Game11-germany-italy-64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game11-germany-italy-64
Game11-germany-italy-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game11-germany-italy-68
Game11-germany-italy-69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game11-germany-italy-69
Game11-germany-italy-73,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,Game11-germany-italy-73
Game11-germany-italy-79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Game11-germany-italy-79
Game11-germany-italy-81,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Game11-germany-italy-81
Game11-germany-italy-88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Game11-germany-italy-88
Game11-austria-italy-5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,Game11-austria-italy-5
Game11-austria-italy-6,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game11-austria-italy-6
Game11-austria-italy-7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Game11-austria-italy-7
Game11-austria-italy-8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-austria-italy-8
Game11-austria-italy-9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Game11-austria-italy-9
Game11-austria-italy-14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,Game11-austria-italy-14
Game11-austria-italy-15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Game11-austria-italy-15
Game11-austria-italy-17,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,Game11-austria-italy-17
Game11-austria-italy-22,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,Game11-austria-italy-22
Game11-austria-italy-29,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game11-austria-italy-29
Game11-austria-italy-30,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Game11-austria-italy-30
Game11-austria-italy-35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game11-austria-italy-35
Game11-austria-italy-38,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,Game11-austria-italy-38
Game11-austria-italy-51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Game11-austria-italy-51
Game11-austria-italy-54,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Game11-austria-italy-54
Game11-austria-italy-57,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,Game11-austria-italy-57
Game11-austria-italy-60,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game11-austria-italy-60
Game11-austria-italy-64,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game11-austria-italy-64
Game11-austria-italy-74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-austria-italy-74
Game11-austria-italy-86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game11-austria-italy-86
Game11-austria-italy-88,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,Game11-austria-italy-88
Game11-austria-italy-90,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,Game11-austria-italy-90
Game11-austria-italy-95,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-austria-italy-95
Game11-austria-italy-97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game11-austria-italy-97
Game11-austria-italy-116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-austria-italy-116
Game11-austria-italy-117,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,Game11-austria-italy-117
Game11-austria-italy-118,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Game11-austria-italy-118
Game11-austria-italy-119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Game11-austria-italy-119
Game11-austria-italy-124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Game11-austria-italy-124
Game11-austria-italy-126,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game11-austria-italy-126
Game11-italy-russia-11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game11-italy-russia-11
Game11-england-italy-2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,Game11-england-italy-2
Game11-england-italy-5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Game11-england-italy-5
Game11-england-italy-7,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,Game11-england-italy-7
Game11-england-italy-9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,Game11-england-italy-9
Game11-england-italy-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Game11-england-italy-13
Game11-turkey-italy-17,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Game11-turkey-italy-17
Game11-turkey-italy-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Game11-turkey-italy-21
Game11-turkey-italy-29,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game11-turkey-italy-29
Game11-turkey-italy-59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,Game11-turkey-italy-59
Game11-turkey-italy-61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game11-turkey-italy-61
Game11-turkey-italy-64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,Game11-turkey-italy-64
Game11-turkey-italy-66,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game11-turkey-italy-66
Game11-turkey-italy-71,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,Game11-turkey-italy-71
Game11-turkey-italy-86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Game11-turkey-italy-86
Game11-turkey-italy-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game11-turkey-italy-97
Game11-turkey-italy-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Game11-turkey-italy-98
Game11-turkey-italy-102,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,Game11-turkey-italy-102
Game11-turkey-italy-103,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,Game11-turkey-italy-103
Game11-turkey-italy-106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Game11-turkey-italy-106
Game11-turkey-italy-107,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Game11-turkey-italy-107
Game11-turkey-italy-114,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Game11-turkey-italy-114
Game11-turkey-italy-119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Game11-turkey-italy-119
Game11-turkey-italy-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Game11-turkey-italy-130
Game11-italy-france-6,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,Game11-italy-france-6
Game11-italy-france-9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Game11-italy-france-9
Game11-italy-france-12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,Game11-italy-france-12
Game11-italy-france-20,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,Game11-italy-france-20
Game11-italy-france-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Game11-italy-france-21
Game11-italy-france-24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,Game11-italy-france-24
Game11-italy-france-25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Game11-italy-france-25
Game11-italy-france-40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,Game11-italy-france-40
Game11-austria-germany-0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Game11-austria-germany-0
Game11-austria-germany-2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Game11-austria-germany-2
